Nummer,Kategorie,Ende,Gebote,Preis
88886,Auto,2020-08-05 19:30:00,57,11300
90581,Auto,2020-08-12 19:00:00,18,1380
7824,Motorrad,2020-07-01 19:00:00,11,1500
547000,Auto,2020-07-08 19:00:00,26,2110
69817,Auto,2020-07-15 19:00:00,16,1520
85308,Auto,2020-06-24 19:15:00,39,2200
97050,Auto,2020-08-12 19:00:00,36,2720
54265,Auto,2020-08-12 19:10:00,35,1780
56782,Auto,2020-07-01 19:10:00,33,1720
62142,Auto,2020-07-15 19:00:00,28,1600
37682,Auto,2020-07-15 19:10:00,40,2160
65768,Auto,2020-08-12 19:20:00,42,2240
70153,Auto,2020-07-22 19:00:00,32,1280
58230,Auto,2020-07-15 19:00:00,39,1760
71136,Auto,2020-07-15 19:00:00,21,1340
83063,Auto,2020-08-05 19:00:00,5,1500
92064,Auto,2020-07-22 19:00:00,8,1600
2790,Motorrad,2020-08-05 19:05:00,26,1300
37505,Auto,2020-07-08 19:50:00,45,3000
717,Auto,2020-08-05 19:10:00,22,30000
766,Auto,2020-07-01 19:35:00,30,36000
788,Auto,2020-07-15 19:05:00,40,32800
797,Auto,2020-08-12 19:00:00,12,25600
925,Auto,2020-07-29 19:00:00,14,21600
936,Auto,2020-06-24 20:10:00,55,44800
940,Auto,2020-07-22 19:00:00,10,20800
975,Auto,2020-07-08 19:35:00,27,31200
65083,Auto,2020-07-08 19:00:00,31,1720
75200,Auto,2020-08-12 19:00:00,3,3200
81174,Auto,2020-07-29 19:15:00,35,1840
4530,Motorrad,2020-07-29 19:00:00,18,1360
41161,Auto,2020-07-08 19:05:00,28,2400
58997,Auto,2020-07-15 19:00:00,20,1600
96061,Auto,2020-07-29 19:00:00,32,1440
8448,Motorrad,2020-07-08 19:00:00,36,1810
9847,Motorrad,2020-06-24 19:05:00,20,1100
720000,Auto,2020-07-15 19:00:00,17,7200
60055,Auto,2020-07-29 19:00:00,32,3520
21242,Auto,2020-07-01 19:35:00,68,4500
4943,Motorrad,2020-07-08 19:25:00,40,1600
87678,Auto,2020-07-15 19:05:00,24,3500
39191,Auto,2020-08-05 19:15:00,36,4530
54177,Auto,2020-07-08 19:30:00,35,2500
93317,Auto,2020-07-08 19:05:00,25,2380
13363,Auto,2020-07-29 19:00:00,33,4450
39873,Auto,2020-07-08 19:05:00,24,2430
70952,Auto,2020-08-05 19:00:00,15,1220
71705,Auto,2020-07-08 19:10:00,37,2520
6058,Motorrad,2020-07-01 19:00:00,21,900
79466,Auto,2020-08-12 19:20:00,38,1500
2787,Motorrad,2020-07-08 19:00:00,32,1600
787,Motorrad,2020-07-22 19:15:00,35,7100
821,Motorrad,2020-07-08 19:00:00,14,2600
837,Motorrad,2020-08-05 19:00:00,19,3000
940,Motorrad,2020-06-24 19:00:00,15,3500
203007,Auto,2020-08-05 19:00:00,35,1300
7124,Auto,2020-08-12 19:20:00,19,8200
76398,Auto,2020-07-08 19:30:00,30,1700
2482,Motorrad,2020-07-22 19:00:00,6,1020
71920,Auto,2020-08-12 19:35:00,44,1760
938839,Auto,2020-07-15 19:10:00,27,1050
114007,Auto,2020-07-01 19:00:00,14,3000
461164,Auto,2020-08-12 19:00:00,44,1130
9887,Motorrad,2020-08-12 19:05:00,39,1300
328823,Auto,2020-07-08 19:20:00,41,1510
4006,Auto,2020-07-15 19:00:00,19,10600
83430,Auto,2020-07-29 19:35:00,42,1600
85757,Auto,2020-08-12 19:00:00,39,2000
89952,Auto,2020-07-29 19:10:00,18,1500
5799,Motorrad,2020-07-29 19:10:00,21,1400
7803,Motorrad,2020-07-29 19:00:00,26,1100
59169,Auto,2020-08-05 19:00:00,32,2000
71328,Auto,2020-06-24 19:05:00,23,2020
84488,Auto,2020-07-29 19:00:00,45,3420
86292,Auto,2020-07-08 19:00:00,27,1440
96816,Auto,2020-08-05 19:15:00,20,1240
1245,Motorrad,2020-08-12 19:50:00,25,1980
3703,Motorrad,2020-08-12 19:20:00,31,1220
7735,Motorrad,2020-07-01 19:35:00,25,1020
115007,Auto,2020-07-01 19:00:00,35,3110
50222,Auto,2020-07-29 19:05:00,25,5020
420420,Auto,2020-08-05 19:10:00,62,4600
16374,Auto,2020-07-01 20:05:00,56,5150
39368,Auto,2020-07-01 19:35:00,56,3300
6450,Motorrad,2020-06-24 19:10:00,23,2300
619916,Auto,2020-06-24 19:25:00,60,2120
61610,Auto,2020-07-08 19:15:00,48,3900
91414,Auto,2020-08-12 19:00:00,33,2220
6616,Motorrad,2020-07-15 19:15:00,44,1500
9046,Motorrad,2020-06-24 19:05:00,31,1350
595595,Auto,2020-06-24 19:10:00,19,2500
311000,Auto,2020-08-12 19:00:00,14,2000
47016,Auto,2020-07-29 19:10:00,32,1530
67447,Auto,2020-08-12 19:10:00,28,1700
77247,Auto,2020-07-22 19:00:00,21,2000
90031,Auto,2020-07-15 19:45:00,46,3680
79932,Auto,2020-07-29 19:25:00,27,1560
9911,Motorrad,2020-07-01 19:00:00,7,2000
9006,Auto,2020-07-29 19:25:00,27,14600
11808,Auto,2020-08-05 19:05:00,29,4500
51829,Auto,2020-08-05 19:00:00,14,1280
60022,Auto,2020-08-12 19:15:00,24,3000
3221,Motorrad,2020-08-05 19:15:00,30,1340
6925,Motorrad,2020-08-05 19:05:00,24,1000
7987,Motorrad,2020-08-05 19:15:00,26,1050
9959,Motorrad,2020-07-15 19:25:00,31,1600
63400,Auto,2020-08-05 19:00:00,12,2500
81759,Auto,2020-07-22 19:10:00,35,1280
1002,Motorrad,2020-07-29 19:05:00,59,2920
15451,Auto,2020-07-15 19:10:00,24,4600
29100,Auto,2020-08-05 19:05:00,56,4020
72778,Auto,2020-07-22 19:00:00,31,1500
77702,Auto,2020-07-08 19:00:00,15,4000
86219,Auto,2020-07-08 19:40:00,29,1720
93953,Auto,2020-08-12 19:40:00,44,1780
6500,Motorrad,2020-07-08 19:20:00,36,2600
42309,Auto,2020-07-22 19:30:00,35,3000
65903,Auto,2020-08-05 19:00:00,23,1320
92140,Auto,2020-07-29 19:00:00,21,1420
9967,Motorrad,2020-07-29 19:00:00,15,910
59439,Auto,2020-08-12 19:30:00,30,1780
